File	Creator	Issue	Volume	Journal	ISSN	ID	Citation	Title	Place Labe	Language	Publisher	Date
History_1a-rdf.tsv	Bernardi, B.	1	48	AFRICA -ROMA-	0001-9747	(Uk)RN010239424	AFRICA -ROMA- 48(1), 1-20. (1993)	Africanistica e antropologia Dalla costruzione moderna alla decostruzione postmoderna	it		EX AFRICA SEMPER ALIQVID NOVI	1993
History_1a-rdf.tsv	Barchiesi, F.	1	48	AFRICA -ROMA-	0001-9747	(Uk)RN010239450	AFRICA -ROMA- 48(1), 70-91. (1993)	Orientamenti metodologici e bibliografici per lo studio del sindacalismo indipendente sudafricano	it		EX AFRICA SEMPER ALIQVID NOVI	1993
History_1a-rdf.tsv	Ugwuanya Nwosu, L.	2	49	AFRICA -ROMA-	0001-9747	(Uk)RN010244936	AFRICA -ROMA- 49(2), 161-179. (1994)	African Religion in Ecumenical Perspective	it	eng	EX AFRICA SEMPER ALIQVID NOVI	1994
History_1a-rdf.tsv	Barro, C.	2	49	AFRICA -ROMA-	0001-9747	(Uk)RN010244948	AFRICA -ROMA- 49(2), 180-209. (1994)	Chiese indipendenti sudafricane. Contributo all'analisi dell'indipendentismo <<sionista>>	it		EX AFRICA SEMPER ALIQVID NOVI	1994
History_1a-rdf.tsv	Salamone, F. A.	2	49	AFRICA -ROMA-	0001-9747	(Uk)RN010244950	AFRICA -ROMA- 49(2), 210-224. (1994)	The Plight of the Indigenous Catholic Priest in Africa: an Igbo Example	it	eng	EX AFRICA SEMPER ALIQVID NOVI	1994
History_1a-rdf.tsv	Calchi Novati, G. P.	2	49	AFRICA -ROMA-	0001-9747	(Uk)RN010244961	AFRICA -ROMA- 49(2), 225-227. (1994)	Una speranza per l'Africa	it		EX AFRICA SEMPER ALIQVID NOVI	1994
History_1a-rdf.tsv	Kashoki, M. E.	2	52	AFRICAN STUDIES -JOHANNESBURG THEN ABINGDON-	0002-0184	(Uk)RN012976574	AFRICAN STUDIES -JOHANNESBURG- 52(2), 141-156. (1994)	Some Thoughts on Future Language Policy for South Africa with reference to the Language Plan of Action for Africa	sa	eng	WITWATERSRAND UNIVERSITY PRESS	1994
History_1a-rdf.tsv		2	52	AFRICAN STUDIES -JOHANNESBURG THEN ABINGDON-	0002-0184	(Uk)RN012976586	AFRICAN STUDIES -JOHANNESBURG- 52(2), 157-162. (1994)	Language Plan of Action for Africa	sa	eng	WITWATERSRAND UNIVERSITY PRESS	1994
History_1a-rdf.tsv	Moffa, C.	3	48	AFRICA -ROMA-	0001-9747	(Uk)RN014442303	AFRICA -ROMA- 48(3), 430-445. (1993)	La << crisi >>della storiografia africanistica orale fra aspetti metodologici e dimensione storico-politica	it		EX AFRICA SEMPER ALIQVID NOVI	1993
History_1a-rdf.tsv	Vawda, S.	1	54	AFRICAN STUDIES -JOHANNESBURG THEN ABINGDON-	0002-0184	(Uk)RN000205126	AFRICAN STUDIES -JOHANNESBURG- 54(1), 128-130. (1995)	Comment on `Southern Africa Revisited' by AD Spiegel and R Gordon	sa	eng	WITWATERSRAND UNIVERSITY PRESS	1995
History_1a-rdf.tsv	Quinlan, T.	1	54	AFRICAN STUDIES -JOHANNESBURG THEN ABINGDON-	0002-0184	(Uk)RN000205138	AFRICAN STUDIES -JOHANNESBURG- 54(1), 131-136. (1995)	What is the State of Anthropology in South Africa?	sa	eng	WITWATERSRAND UNIVERSITY PRESS	1995
History_1a-rdf.tsv	Mukurn Mbaku, J.	2	41	AUSTRALIAN JOURNAL OF POLITICS AND HISTORY	0004-9522	(Uk)RN000249180	AUSTRALIAN JOURNAL OF POLITICS AND HISTORY 41(2), 205-218. (1995)	Democracy in Africa: Rent Seeking as a Constraint on Policy Reform	at	eng	THE UNIVERSITY OF QUEENSLAND PRESS	1995
History_1a-rdf.tsv	Trotter, J. W.	SUP	29	JOURNAL OF SOCIAL HISTORY	0022-4529	(Uk)RN000333220	JOURNAL OF SOCIAL HISTORY -BERKELEY THEN PITTSBURGH- 29(SUP), 85-90. (1995)	Reflections on the African American Experience, Social History, and the Resurgence of Conservatism in American Society	xxu	eng	CARNEGIE MELLON UNIVERSITY PRESS	1995
History_1a-rdf.tsv	Wood, P. H.	4	52	WILLIAM AND MARY QUARTERLY	0043-5597	(Uk)RN000333890	WILLIAM AND MARY QUARTERLY 52(4), 735-736. (1995)	Mullin, Africa in America: Slave Acculturation and Resistance in the American South and the British Caribbean, 1736-1831	xxu	eng	INSTITUTE OF EARLY AMERICAN HISTORY AND CULTURE	1995
History_1a-rdf.tsv	Pantucek, S.	2	63	ARCHIV ORIENTALNI	0044-8699	(Uk)RN000385165	ARCHIV ORIENTALNI 63(2), 180-187. (1995)	The search for identity in Northafrican literatures	xr	eng	ACADEMIA PUBLISHING HOUSE	1995
History_1a-rdf.tsv	Oladipo, O.	3	42	AFRICA TODAY	0001-9887	(Uk)RN000609043	AFRICA TODAY 42(3), 26-38. (1995)	Reason, Identity, and the African Quest: The Problems of Self-Definition in African Philosophy	xxu	eng	GRADUATE SCHOOL FOR INTERNATIONAL STUDIES	1995
History_1a-rdf.tsv	Sangmpam, S. N.	3	42	AFRICA TODAY	0001-9887	(Uk)RN000609055	AFRICA TODAY 42(3), 39-67. (1995)	Social Theory and the Challenges of Africa's Future	xxu	eng	GRADUATE SCHOOL FOR INTERNATIONAL STUDIES	1995
History_1a-rdf.tsv	Olagoke, B. E.	3	42	AFRICA TODAY	0001-9887	(Uk)RN000609092	AFRICA TODAY 42(3), 90-92. (1995)	"Is There an ""African"" Philosophy?"	xxu	eng	GRADUATE SCHOOL FOR INTERNATIONAL STUDIES	1995
