File	Creator	Issue	Volume	Journal	ISSN	ID	Citation	Title	Place Labe	Language	Publisher	Date
History_1a-rdf.tsv	Resis, A.	3	21	RUSSIAN HISTORY	0094-288X	(Uk)RN005360973	RUSSIAN HISTORY 21(3), 366-367. (1994)	Odd Arne Westad. Cold War and Revolution: Soviet-American Rivalry and the Origins of the Chinese Civil War, 1944-1946	xxu	eng	UNIVERSITY OF UTAH	1994
History_1a-rdf.tsv	Herspring, D. R.	4	21	RUSSIAN HISTORY	0094-288X	(Uk)RN005361217	RUSSIAN HISTORY 21(4), 491-492. (1994)	Russia and America: From Rivalry to Reconciliation. Edited by George Ginsburgs, Alvin Z. Rubinstein, and Oles M. Smolansky	xxu	eng	UNIVERSITY OF UTAH	1994
History_1a-rdf.tsv	Helfman, B.	1	73	CALIFORNIA HISTORY	0162-2897	(Uk)RN009518447	CALIFORNIA HISTORY 73(1), 54-71. (1994)	"""Sun Rising in an Eastern Sky"": Japanese Americans in Washington Township, 1920-1942"	xxu	eng	CALIFORNIA HISTORICAL SOCIETY	1994
History_1a-rdf.tsv	Rothman, H. K.	1	9	MAGAZINE OF HISTORY	0882-228X	(Uk)RN010653563	MAGAZINE OF HISTORY 9(1), 28-33. (1994)	Environmental History in the American West	xxu	eng	ORGANIZATION OF AMERICAN HISTORIANS	1994
History_1a-rdf.tsv	Bodnar, J.	1	15	JOURNAL OF AMERICAN ETHNIC HISTORY	0278-5927	(Uk)RN000189662	JOURNAL OF AMERICAN ETHNIC HISTORY 15(1), 3-27. (1995)	Remembering the Immigrant Experience in American Culture	xxu	eng	TRANSACTION PERIODICALS CONSORTIUM	1995
History_1a-rdf.tsv	Erdman, H.	1	15	JOURNAL OF AMERICAN ETHNIC HISTORY	0278-5927	(Uk)RN000189674	JOURNAL OF AMERICAN ETHNIC HISTORY 15(1), 28-45. (1995)	M.B. Curtis and the Making of the American Stage Jew	xxu	eng	TRANSACTION PERIODICALS CONSORTIUM	1995
History_1a-rdf.tsv	Barton, H. A.	1	15	JOURNAL OF AMERICAN ETHNIC HISTORY	0278-5927	(Uk)RN000189686	JOURNAL OF AMERICAN ETHNIC HISTORY 15(1), 46-55. (1995)	Where Have The Scandinavian-Americanists Been?	xxu	eng	TRANSACTION PERIODICALS CONSORTIUM	1995
History_1a-rdf.tsv	Weinberg, S. S.	1	15	JOURNAL OF AMERICAN ETHNIC HISTORY	0278-5927	(Uk)RN000189704	JOURNAL OF AMERICAN ETHNIC HISTORY 15(1), 61-62. (1995)	"Immigration and Ethnicity: American Society - ""Melting Pot"" or ""Salad Bowl""? edited by Michael D'Innocenzo and Josef P. Sirefman"	xxu	eng	TRANSACTION PERIODICALS CONSORTIUM	1995
History_1a-rdf.tsv	Kamphoefner, W. D.	1	15	JOURNAL OF AMERICAN ETHNIC HISTORY	0278-5927	(Uk)RN000189716	JOURNAL OF AMERICAN ETHNIC HISTORY 15(1), 63-64. (1995)	From the Old Country: An Oral History of European Migration to America, by Bruce M. Stave and John F. Sutherland, with Aldo Salerno	xxu	eng	TRANSACTION PERIODICALS CONSORTIUM	1995
History_1a-rdf.tsv	Gjerde, J.	1	15	JOURNAL OF AMERICAN ETHNIC HISTORY	0278-5927	(Uk)RN000189728	JOURNAL OF AMERICAN ETHNIC HISTORY 15(1), 65-66. (1995)	Swedish-American Life in Chicago: Cultural and Urban Aspects of an Immigrant People, 1850-1930, edited by Philip J. Anderson and Dag Blanck	xxu	eng	TRANSACTION PERIODICALS CONSORTIUM	1995
History_1a-rdf.tsv	Shapiro, E. S.	1	15	JOURNAL OF AMERICAN ETHNIC HISTORY	0278-5927	(Uk)RN000189765	JOURNAL OF AMERICAN ETHNIC HISTORY 15(1), 69-70. (1995)	Ellis Island to Ebbets Field: Sport and the American Jewish Experience, by Peter Levine	xxu	eng	TRANSACTION PERIODICALS CONSORTIUM	1995
History_1a-rdf.tsv	Mitchell, D.	1	15	JOURNAL OF AMERICAN ETHNIC HISTORY	0278-5927	(Uk)RN000189790	JOURNAL OF AMERICAN ETHNIC HISTORY 15(1), 74-75. (1995)	White Captives: Gender and Ethnicity on the American Frontier, by June Namias	xxu	eng	TRANSACTION PERIODICALS CONSORTIUM	1995
History_1a-rdf.tsv	Grumet, R. S.	1	15	JOURNAL OF AMERICAN ETHNIC HISTORY	0278-5927	(Uk)RN000189819	JOURNAL OF AMERICAN ETHNIC HISTORY 15(1), 78-79. (1995)	The Pequots in Southern New England: The Fall and Rise of an American Indian Nation, edited by Laurence M. Hauptman and James D. Wherry	xxu	eng	TRANSACTION PERIODICALS CONSORTIUM	1995
History_1a-rdf.tsv	Hoxie, F. E.	1	15	JOURNAL OF AMERICAN ETHNIC HISTORY	0278-5927	(Uk)RN000189820	JOURNAL OF AMERICAN ETHNIC HISTORY 15(1), 80-81. (1995)	Atlas of American Indian Affairs, by Francis Paul Prucha	xxu	eng	TRANSACTION PERIODICALS CONSORTIUM	1995
History_1a-rdf.tsv	Fleming, R.	4	100	AMERICAN HISTORICAL REVIEW	0002-8762	(Uk)RN000208590	AMERICAN HISTORICAL REVIEW 100(4), 1061-1094. (1995)	Picturesque History and the Medieval in Nineteenth-Century America	xxu	eng	AMERICAN HISTORICAL ASSOCIATION	1995
History_1a-rdf.tsv	Muir, E.	4	100	AMERICAN HISTORICAL REVIEW	0002-8762	(Uk)RN000208607	AMERICAN HISTORICAL REVIEW 100(4), 1095-1118. (1995)	The Italian Renaissance in America	xxu	eng	AMERICAN HISTORICAL ASSOCIATION	1995
History_1a-rdf.tsv	Emmons, T.	4	100	AMERICAN HISTORICAL REVIEW	0002-8762	(Uk)RN000208620	AMERICAN HISTORICAL REVIEW 100(4), 1136-1149. (1995)	Russia Then and Now in the Pages of the American Historical Review and Elsewhere: A Few Centennial Notes	xxu	eng	AMERICAN HISTORICAL ASSOCIATION	1995
History_1a-rdf.tsv	Deloria, P. J.	4	100	AMERICAN HISTORICAL REVIEW	0002-8762	(Uk)RN000208656	AMERICAN HISTORICAL REVIEW 100(4), 1194-1197. (1995)	Unforgiven; Posse; Bad Girls; The Ballad of Little Jo; Tombstone; Geronimo: An American Legend	xxu	eng	AMERICAN HISTORICAL ASSOCIATION	1995
History_1a-rdf.tsv	Lewis, D. R.	4	100	AMERICAN HISTORICAL REVIEW	0002-8762	(Uk)RN000208668	AMERICAN HISTORICAL REVIEW 100(4), 1198-1199. (1995)	The Native Americans	xxu	eng	AMERICAN HISTORICAL ASSOCIATION	1995
History_1a-rdf.tsv	McKenna, P.	2	41	AUSTRALIAN JOURNAL OF POLITICS AND HISTORY	0004-9522	(Uk)RN000249210	AUSTRALIAN JOURNAL OF POLITICS AND HISTORY 41(2), 253-270. (1995)	Canada and the Inter-American System, 1890-1968	at	eng	THE UNIVERSITY OF QUEENSLAND PRESS	1995
History_1a-rdf.tsv	Bryant, W.	2	36	AMERICAN STUDIES -LAWRENCE-	0026-3079	(Uk)RN000322908	AMERICAN STUDIES -LAWRENCE- 36(2), 43-64. (1995)	The Re-Vision of Planet Earth: Space Flight and Environmentalism in Postmodern America	xxu	eng	MID-AMERICA AMERICAN STUDIES ASSOCIATION	1995
