File	Creator	Issue	Volume	Journal	ISSN	ID	Citation	Title	Place Labe	Language	Publisher	Date
History_1a-rdf.tsv	Prest, W.	4	34	JOURNAL OF BRITISH STUDIES	0021-9371	(Uk)RN000064968	JOURNAL OF BRITISH STUDIES 34(4), 464-480. (1995)	William Lambarde, Elizabethan Law Reform, and Early Stuart Politics	xxu	eng	UNIVERSITY OF CHICAGO PRESS	1995
History_1a-rdf.tsv	Liwen, W.	5	28	CHINESE EDUCATION AND SOCIETY	1061-1932	(Uk)RN000204470	CHINESE EDUCATION AND SOCIETY 28(5), 26-29. (1995)	Breasting the Tape Begins with the Start of the Race: College Entrance Exams Begin with Entering One's Choices	xxu	eng	M.E. SHARPE INC.	1995
History_1a-rdf.tsv	Friis-Jensen, K.	2	9	RENAISSANCE STUDIES	0269-1213	(Uk)RN000328091	RENAISSANCE STUDIES 9(2), 228-239. (1995)	Commentaries on Horace's Art of Poetry in the incunable period	xxk	eng	OXFORD UNIVERSITY PRESS	1995
History_1a-rdf.tsv	Weston, V.	11	26	ORIENTATIONS -HONG KONG-	0030-5448	(Uk)RN000522041	ORIENTATIONS -HONG KONG- 26(11), 41-50. (1995)	Asian Art at the Isabella Stewart Gardner Museum	cc	eng	ORIENTATIONS MAGAZINE LTD	1995
History_1a-rdf.tsv	De Sabato Swinton, E.	11	26	ORIENTATIONS -HONG KONG-	0030-5448	(Uk)RN000522053	ORIENTATIONS -HONG KONG- 26(11), 51-58. (1995)	The Builders of Worcester's Asian Art Collection	cc	eng	ORIENTATIONS MAGAZINE LTD	1995
History_1a-rdf.tsv	Mosquera, G.	4	75	HISPANIC AMERICAN HISTORICAL REVIEW	0018-2168	(Uk)RN000781228	HISPANIC AMERICAN HISTORICAL REVIEW 75(4), 656-657. (1995)	Cuban Art and National Identity: The Vanguardia Painters, 1927-1950, by Juan A. Martinez	xxu	eng	HISTORY OF THE AMERICAN HISTORICAL ASSOCIATION	1995
History_1a-rdf.tsv		4	9	ARCHAEOLOGY IRELAND	0790-892X	(Uk)RN000824343	ARCHAEOLOGY IRELAND 9(4), 28-29. (1995)	Rock art in Co. Mayo	ie	eng	ARCHAEOLOGY IRELAND LTD	1995
History_1a-rdf.tsv	Ayers, W. S.	2	34	ASIAN PERSPECTIVES -HONG KONG THEN HONOLULU-	0066-8435	(Uk)RN000916675	ASIAN PERSPECTIVES -HONG KONG THEN HONOLULU- 34(2), 315-317. (1995)	The Rock Art of Easter Island: Symbols of Power, Prayers to the Gods, Georgia Lee	xxu	eng	UNIVERSITY OF HAWAII PRESS	1995
History_1a-rdf.tsv		49	53	CONGRESSIONAL QUARTERLY WEEKLY REPORT	0010-5910	(Uk)RN001012710	CONGRESSIONAL QUARTERLY WEEKLY REPORT 53(49), 3823-3824. (1995)	History and Provisions of Start II	xxu	eng	CONGRESSIONAL QUARTERLY INC	1995
History_1a-rdf.tsv	Wouters, C.	2	29	JOURNAL OF SOCIAL HISTORY	0022-4529	(Uk)RN001126155	JOURNAL OF SOCIAL HISTORY -BERKELEY THEN PITTSBURGH- 29(2), 325-340. (1995)	Etiquette Books and Emotion Management in the 20th Century: Part Two - The Integration of the Sexes	xxu	eng	CARNEGIE MELLON UNIVERSITY PRESS	1995
